1
100 4950
1 2 41
1 3 18467
1 4 6334
1 5 26500
1 6 19169
1 7 15724
1 8 11478
1 9 29358
1 10 26962
1 11 24464
1 12 5705
1 13 28145
1 14 23281
1 15 16827
1 16 9961
1 17 491
1 18 2995
1 19 11942
1 20 4827
1 21 5436
1 22 32391
1 23 14604
1 24 3902
1 25 153
1 26 292
1 27 12382
1 28 17421
1 29 18716
1 30 19718
1 31 19895
1 32 5447
1 33 21726
1 34 14771
1 35 11538
1 36 1869
1 37 19912
1 38 25667
1 39 26299
1 40 17035
1 41 9894
1 42 28703
1 43 23811
1 44 31322
1 45 30333
1 46 17673
1 47 4664
1 48 15141
1 49 7711
1 50 28253
1 51 6868
1 52 25547
1 53 27644
1 54 32662
1 55 32757
1 56 20037
1 57 12859
1 58 8723
1 59 9741
1 60 27529
1 61 778
1 62 12316
1 63 3035
1 64 22190
1 65 1842
1 66 288
1 67 30106
1 68 9040
1 69 8942
1 70 19264
1 71 22648
1 72 27446
1 73 23805
1 74 15890
1 75 6729
1 76 24370
1 77 15350
1 78 15006
1 79 31101
1 80 24393
1 81 3548
1 82 19629
1 83 12623
1 84 24084
1 85 19954
1 86 18756
1 87 11840
1 88 4966
1 89 7376
1 90 13931
1 91 26308
1 92 16944
1 93 32439
1 94 24626
1 95 11323
1 96 5537
1 97 21538
1 98 16118
1 99 2082
1 100 22929
2 3 16541
2 4 4833
2 5 31115
2 6 4639
2 7 29658
2 8 22704
2 9 9930
2 10 13977
2 11 2306
2 12 31673
2 13 22386
2 14 5021
2 15 28745
2 16 26924
2 17 19072
2 18 6270
2 19 5829
2 20 26777
2 21 15573
2 22 5097
2 23 16512
2 24 23986
2 25 13290
2 26 9161
2 27 18636
2 28 22355
2 29 24767
2 30 23655
2 31 15574
2 32 4031
2 33 12052
2 34 27350
2 35 1150
2 36 16941
2 37 21724
2 38 13966
2 39 3430
2 40 31107
2 41 30191
2 42 18007
2 43 11337
2 44 15457
2 45 12287
2 46 27753
2 47 10383
2 48 14945
2 49 8909
2 50 32209
2 51 9758
2 52 24221
2 53 18588
2 54 6422
2 55 24946
2 56 27506
2 57 13030
2 58 16413
2 59 29168
2 60 900
2 61 32591
2 62 18762
2 63 1655
2 64 17410
2 65 6359
2 66 27624
2 67 20537
2 68 21548
2 69 6483
2 70 27595
2 71 4041
2 72 3602
2 73 24350
2 74 10291
2 75 30836
2 76 9374
2 77 11020
2 78 4596
2 79 24021
2 80 27348
2 81 23199
2 82 19668
2 83 24484
2 84 8281
2 85 4734
2 86 53
2 87 1999
2 88 26418
2 89 27938
2 90 6900
2 91 3788
2 92 18127
2 93 467
2 94 3728
2 95 14893
2 96 24648
2 97 22483
2 98 17807
2 99 2421
2 100 14310
3 4 6617
3 5 22813
3 6 9514
3 7 14309
3 8 7616
3 9 18935
3 10 17451
3 11 20600
3 12 5249
3 13 16519
3 14 31556
3 15 22798
3 16 30303
3 17 6224
3 18 11008
3 19 5844
3 20 32609
3 21 14989
3 22 32702
3 23 3195
3 24 20485
3 25 3093
3 26 14343
3 27 30523
3 28 1587
3 29 29314
3 30 9503
3 31 7448
3 32 25200
3 33 13458
3 34 6618
3 35 20580
3 36 19796
3 37 14798
3 38 15281
3 39 19589
3 40 20798
3 41 28009
3 42 27157
3 43 20472
3 44 23622
3 45 18538
3 46 12292
3 47 6038
3 48 24179
3 49 18190
3 50 29657
3 51 7958
3 52 6191
3 53 19815
3 54 22888
3 55 19156
3 56 11511
3 57 16202
3 58 2634
3 59 24272
3 60 20055
3 61 20328
3 62 22646
3 63 26362
3 64 4886
3 65 18875
3 66 28433
3 67 29869
3 68 20142
3 69 23844
3 70 1416
3 71 21881
3 72 31998
3 73 10322
3 74 18651
3 75 10021
3 76 5699
3 77 3557
3 78 28476
3 79 27892
3 80 24389
3 81 5075
3 82 10712
3 83 2600
3 84 2510
3 85 21003
3 86 26869
3 87 17861
3 88 14688
3 89 13401
3 90 9789
3 91 15255
3 92 16423
3 93 5002
3 94 10585
3 95 24182
3 96 10285
3 97 27088
3 98 31426
3 99 28617
3 100 23757
4 5 9832
4 6 30932
4 7 4169
4 8 2154
4 9 25721
4 10 17189
4 11 19976
4 12 31329
4 13 2368
4 14 28692
4 15 21425
4 16 10555
4 17 3434
4 18 16549
4 19 7441
4 20 9512
4 21 30145
4 22 18060
4 23 21718
4 24 3753
4 25 16139
4 26 12423
4 27 16279
4 28 25996
4 29 16687
4 30 12529
4 31 22549
4 32 17437
4 33 19866
4 34 12949
4 35 193
4 36 23195
4 37 3297
4 38 20416
4 39 28286
4 40 16105
4 41 24488
4 42 16282
4 43 12455
4 44 25734
4 45 18114
4 46 11701
4 47 31316
4 48 20671
4 49 5786
4 50 12263
4 51 4313
4 52 24355
4 53 31185
4 54 20053
4 55 912
4 56 10808
4 57 1832
4 58 20945
4 59 4313
4 60 27756
4 61 28321
4 62 19558
4 63 23646
4 64 27982
4 65 481
4 66 4144
4 67 23196
4 68 20222
4 69 7129
4 70 2161
4 71 5535
4 72 20450
4 73 11173
4 74 10466
4 75 12044
4 76 21659
4 77 26292
4 78 26439
4 79 17253
4 80 20024
4 81 26154
4 82 29510
4 83 4745
4 84 20649
4 85 13186
4 86 8313
4 87 4474
4 88 28022
4 89 2168
4 90 14018
4 91 18787
4 92 9905
4 93 17958
4 94 7391
4 95 10202
4 96 3625
4 97 26477
4 98 4414
4 99 9314
4 100 25824
5 6 29334
5 7 25874
5 8 24372
5 9 20159
5 10 11833
5 11 28070
5 12 7487
5 13 28297
5 14 7518
5 15 8177
5 16 17773
5 17 32270
5 18 1763
5 19 2668
5 20 17192
5 21 13985
5 22 3102
5 23 8480
5 24 29213
5 25 7627
5 26 4802
5 27 4099
5 28 30527
5 29 2625
5 30 1543
5 31 1924
5 32 11023
5 33 29972
5 34 13061
5 35 14181
5 36 31003
5 37 27432
5 38 17505
5 39 27593
5 40 22725
5 41 13031
5 42 8492
5 43 142
5 44 17222
5 45 31286
5 46 13064
5 47 7900
5 48 19187
5 49 8360
5 50 22413
5 51 30974
5 52 14270
5 53 29170
5 54 235
5 55 30833
5 56 19711
5 57 25760
5 58 18896
5 59 4667
5 60 7285
5 61 12550
5 62 140
5 63 13694
5 64 2695
5 65 21624
5 66 28019
5 67 2125
5 68 26576
5 69 21694
5 70 22658
5 71 26302
5 72 17371
5 73 22466
5 74 4678
5 75 22593
5 76 23851
5 77 25484
5 78 1018
5 79 28464
5 80 21119
5 81 23152
5 82 2800
5 83 18087
5 84 31060
5 85 1926
5 86 9010
5 87 4757
5 88 32170
5 89 20315
5 90 9576
5 91 30227
5 92 12043
5 93 22758
5 94 7164
5 95 5109
5 96 7882
5 97 17086
5 98 29565
5 99 3487
5 100 29577
6 7 14474
6 8 2625
6 9 25627
6 10 5629
6 11 31928
6 12 25423
6 13 28520
6 14 6902
6 15 14962
6 16 123
6 17 24596
6 18 3737
6 19 13261
6 20 10195
6 21 32525
6 22 1264
6 23 8260
6 24 6202
6 25 8116
6 26 5030
6 27 20326
6 28 29011
6 29 30771
6 30 6411
6 31 25547
6 32 21153
6 33 21520
6 34 29790
6 35 14924
6 36 30188
6 37 21763
6 38 4940
6 39 20851
6 40 18662
6 41 13829
6 42 30900
6 43 17713
6 44 18958
6 45 17578
6 46 8365
6 47 13007
6 48 11477
6 49 1200
6 50 26058
6 51 6439
6 52 2303
6 53 12760
6 54 19357
6 55 2324
6 56 6477
6 57 5108
6 58 21113
6 59 14887
6 60 19801
6 61 22850
6 62 14460
6 63 22428
6 64 12993
6 65 27384
6 66 19405
6 67 6540
6 68 31111
6 69 28704
6 70 12835
6 71 32356
6 72 6072
6 73 29350
6 74 18823
6 75 14485
6 76 20556
6 77 23216
6 78 1626
6 79 9357
6 80 8526
6 81 13357
6 82 29337
6 83 23271
6 84 23869
6 85 29361
6 86 12896
6 87 13022
6 88 29617
6 89 10112
6 90 12717
6 91 18696
6 92 11585
6 93 24041
6 94 24423
6 95 24129
6 96 24229
6 97 4565
6 98 6559
6 99 8932
6 100 22296
7 8 29855
7 9 12053
7 10 16962
7 11 3584
7 12 29734
7 13 6654
7 14 16972
7 15 21457
7 16 14369
7 17 22532
7 18 2963
7 19 2607
7 20 2483
7 21 911
7 22 11635
7 23 10067
7 24 22848
7 25 4675
7 26 12938
7 27 2223
7 28 22142
7 29 23754
